area_type,availability,size(BHK),total_sqft,bath,balcony,price,location,price_per_sqft
Super built-up  Area,Ready To Move,3.0,2367.0,4.0,3.0,340.0,Bhandarkar Road,14364.17405999155
Super built-up  Area,Ready To Move,3.0,1415.0,2.0,1.0,65.0,Bhavani Peth,4593.639575971732
Super built-up  Area,19-Dec,3.0,1976.0,3.0,1.0,145.0,Bibvewadi,7338.056680161943
Super built-up  Area,Ready To Move,2.0,883.0,2.0,1.0,37.01,Bopodi,4191.392978482446
Super built-up  Area,Ready To Move,1.0,700.0,1.0,1.0,38.0,Budhwar Peth,5428.571428571428
Super built-up  Area,Ready To Move,3.0,1445.0,3.0,1.0,50.0,Bund Garden Road,3460.2076124567475
Super built-up  Area,19-Dec,3.0,2082.0,3.0,2.0,104.0,Camp,4995.1969260326605
Super built-up  Area,Ready To Move,2.0,1140.0,2.0,2.0,46.0,Chandan Nagar,4035.0877192982457
Super built-up  Area,Ready To Move,2.0,933.0,2.0,1.0,66.0,Dapodi,7073.954983922829
Plot  Area,Ready To Move,4.0,800.0,5.0,1.0,95.5,Deccan Gymkhana,11937.5
Built-up  Area,Ready To Move,2.0,1155.0,2.0,1.0,57.0,Dehu Road,4935.064935064935
Super built-up  Area,Ready To Move,2.0,1130.0,2.0,1.0,36.0,Dhankawadi,3185.8407079646017
Super built-up  Area,Ready To Move,2.0,1200.0,2.0,2.0,73.2,Dhayari Phata,6100.0
Super built-up  Area,Ready To Move,2.0,1055.0,2.0,1.0,43.0,Dhole Patil Road,4075.829383886256
Super built-up  Area,Ready To Move,3.0,1555.0,3.0,2.0,125.0,Erandwane,8038.585209003216
Super built-up  Area,Ready To Move,3.0,1420.0,3.0,2.0,62.0,Fatima Nagar,4366.197183098591
Super built-up  Area,20-Apr,3.0,2214.0,3.0,2.0,350.0,Fergusson College Road,15808.491418247515
Super built-up  Area,18-Apr,1.0,658.0,1.0,1.0,26.91,Ganesh Peth,4089.665653495441
Carpet  Area,18-Dec,2.0,896.9,2.0,1.0,78.74,Ganeshkhind,8779.128107927305
Plot  Area,Ready To Move,4.0,4000.0,3.0,2.0,750.0,Ghorpade Peth,18750.0
Built-up  Area,Ready To Move,2.0,1035.0,2.0,2.0,40.0,Ghorpadi,3864.7342995169083
Plot  Area,Ready To Move,4.0,2064.0,5.0,2.0,225.0,Gokhale Nagar,10901.162790697674
Super built-up  Area,Ready To Move,3.0,1839.0,3.0,3.0,160.0,Gultekdi,8700.380641653072
Super built-up  Area,Ready To Move,2.0,1200.0,2.0,2.0,44.0,Guruwar peth,3666.6666666666665
Built-up  Area,Ready To Move,1.0,488.0,1.0,1.0,20.0,Hadapsar,4098.360655737705
Built-up  Area,Ready To Move,3.0,1200.0,2.0,1.0,198.0,Hadapsar Industrial Estate,16500.0
Built-up  Area,Ready To Move,5.0,2760.0,5.0,1.5845003933910307,140.0,Hingne Khurd,5072.463768115942
Super built-up  Area,Ready To Move,2.0,993.0,2.0,2.0,42.0,Jangali Maharaj Road,4229.607250755287
Super built-up  Area,Ready To Move,2.0,1225.0,2.0,1.0,45.0,Kalyani Nagar,3673.469387755102
Plot  Area,Ready To Move,2.0,900.0,2.0,0.0,55.0,Karve Nagar,6111.111111111111
Plot  Area,18-Feb,9.0,1200.0,13.0,1.5845003933910307,150.0,Karve Road,12500.0
Built-up  Area,Ready To Move,2.0,825.0,2.0,1.0,32.0,Kasba Peth,3878.787878787879
Super built-up  Area,Ready To Move,4.0,3596.0,4.0,2.0,359.0,Katraj,9983.314794215796
Plot  Area,Ready To Move,6.0,1350.0,4.0,1.0,203.0,Khadaki,15037.037037037036
Super built-up  Area,Ready To Move,3.0,1800.0,3.0,3.0,92.0,Khadki,5111.111111111111
Super built-up  Area,Ready To Move,2.0,925.0,2.0,1.0,100.0,Kharadi,10810.81081081081
Super built-up  Area,21-Mar,2.0,1167.0,2.0,1.0,63.0,Kondhwa,5398.457583547558
Super built-up  Area,Ready To Move,2.0,1150.0,2.0,1.0,41.0,Kondhwa Budruk,3565.217391304348
Super built-up  Area,18-Aug,1.0,650.0,1.0,1.0,50.0,Kondhwa Khurd,7692.307692307692
Built-up  Area,Ready To Move,1.0,675.0,1.0,1.0,27.0,Koregaon Park,4000.0
Plot  Area,Ready To Move,2.0,2260.0,3.0,1.0,90.0,Kothrud,3982.3008849557523
Super built-up  Area,18-Apr,1.0,720.0,1.0,0.0,32.39,Law College Road,4498.611111111111
Plot  Area,Ready To Move,3.0,4800.0,4.0,2.0,600.0,Laxmi Road,12500.0
Super built-up  Area,Ready To Move,2.0,1100.0,2.0,1.0,58.0,Lulla Nagar,5272.727272727273
Super built-up  Area,Ready To Move,2.0,550.0,1.0,1.0,20.0,Mahatma Gandhi Road,3636.3636363636365
Super built-up  Area,Ready To Move,3.0,1330.0,2.0,1.0,58.0,Mangalwar peth,4360.902255639097
Super built-up  Area,Ready To Move,2.0,1320.0,2.0,1.0,160.0,Manik Bagh,12121.212121212122
Super built-up  Area,Ready To Move,3.0,1685.0,4.0,2.0,185.0,Market yard,10979.228486646884
Super built-up  Area,Ready To Move,6.0,2400.0,5.0,2.0,75.0,Model colony,3125.0
Super built-up  Area,18-Apr,3.0,1770.0,3.0,3.0,108.0,Mukund Nagar,6101.6949152542375
Super built-up  Area,Ready To Move,3.0,2100.0,3.0,3.0,125.0,Mundhawa,5952.380952380952
Super built-up  Area,Ready To Move,2.0,1000.0,2.0,3.0,42.0,Nagar Road,4200.0
Plot  Area,Ready To Move,4.0,600.0,5.0,1.0,105.0,Nana Peth,17500.0
Plot  Area,Ready To Move,4.0,2916.0,5.0,1.0,230.0,Narayan Peth,7887.517146776406
Super built-up  Area,Ready To Move,3.0,1419.59,2.0,1.0,65.0,Narayangaon,4578.786832817927
Super built-up  Area,Ready To Move,3.0,1400.0,3.0,1.5845003933910307,81.0,Navi Peth,5785.714285714285
Built-up  Area,Ready To Move,2.0,750.0,2.0,1.0,37.49,Padmavati,4998.666666666667
Super built-up  Area,Ready To Move,2.0,1070.0,2.0,1.0,87.0,Parvati Darshan,8130.841121495327
Super built-up  Area,18-Dec,3.0,1536.0,3.0,1.0,107.0,Pashan,6966.145833333333
Built-up  Area,Ready To Move,3.0,1710.0,3.0,2.0,210.0,Paud Road,12280.701754385966
Carpet  Area,Ready To Move,3.0,2400.0,3.0,3.0,196.0,Pirangut,8166.666666666667
Super built-up  Area,18-Mar,3.0,1773.5,2.6926619356786956,1.5845003933910307,102.92,Prabhat Road,5803.213983648154
Super built-up  Area,18-Apr,2.0,1342.0,2.0,1.0,72.0,Pune Railway Station,5365.126676602086
Super built-up  Area,Ready To Move,3.0,1600.0,3.0,2.0,130.0,Rasta Peth,8125.0
Super built-up  Area,19-Dec,1.0,938.0,1.0,1.0,50.0,Raviwar Peth,5330.490405117271
Super built-up  Area,Ready To Move,3.0,1820.0,3.0,2.0,99.0,Sadashiv Peth,5439.56043956044
Super built-up  Area,Ready To Move,4.0,2439.0,4.0,3.0,170.0,Sahakar Nagar,6970.069700697007
Super built-up  Area,Ready To Move,3.0,1665.0,3.0,2.0,78.0,Salunke Vihar,4684.684684684685
Super built-up  Area,Ready To Move,3.0,1850.0,3.0,2.0,150.0,Sasson Road,8108.108108108108
Built-up  Area,Ready To Move,2.0,1091.0,2.0,1.0,40.0,Satara Road,3666.3611365719526
Super built-up  Area,18-Apr,2.0,1346.0,2.0,1.0,74.03,Senapati Bapat Road,5500.0
Super built-up  Area,Ready To Move,3.0,1720.0,3.0,2.0,224.0,Shaniwar Peth,13023.255813953489
Built-up  Area,Ready To Move,4.0,3675.0,4.0,3.0,176.0,Shivaji Nagar,4789.115646258503
Super built-up  Area,18-Jun,2.0,1060.0,2.0,2.0,33.95,Shukrawar Peth,3202.8301886792456
Built-up  Area,18-Dec,2.0,1059.0,2.0,1.0,57.0,Sinhagad Road,5382.43626062323
Super built-up  Area,Ready To Move,2.0,1299.0,2.0,1.0,97.0,Somwar Peth,7467.282525019245
Super built-up  Area,Ready To Move,3.0,1491.0,3.0,2.0,85.0,Swargate,5700.871898054997
Built-up  Area,Ready To Move,2.0,1200.0,2.0,2.0,85.0,Tilak Road,7083.333333333333
Built-up  Area,Ready To Move,4.0,2088.0,5.0,0.0,110.0,Uruli Devachi,5268.199233716475
Super built-up  Area,Ready To Move,1.0,581.0,1.0,1.0,29.0,Vadgaon Budruk,4991.394148020654
Super built-up  Area,Ready To Move,2.0,1296.0,2.0,2.0,70.0,Wadgaon Sheri,5401.234567901234
Super built-up  Area,Ready To Move,2.0,1125.0,2.0,1.0,55.0,Viman Nagar,4888.888888888889
Built-up  Area,Ready To Move,3.0,1275.0,3.0,1.0,70.0,Vishrant Wadi,5490.196078431372
Super built-up  Area,Ready To Move,2.0,1095.0,2.0,2.0,55.0,Wagholi,5022.83105022831
Plot  Area,Ready To Move,5.0,10000.0,4.0,2.0,975.0,Wakadewadi,9750.0
Super built-up  Area,Ready To Move,2.0,1330.0,2.0,2.0,74.0,Wanowrie,5563.909774436091
Super built-up  Area,Ready To Move,2.0,1135.0,2.0,2.0,60.0,Warje,5286.343612334802
Super built-up  Area,Ready To Move,1.0,516.0,1.0,1.0,39.0,Yerawada,7558.139534883721
Super built-up  Area,Ready To Move,2.0,1194.0,2.0,1.0,51.0,Alandi Road,4271.356783919598
Plot  Area,Ready To Move,5.0,2250.0,5.0,1.5845003933910307,240.0,Ambegaon Budruk,10666.666666666666
Super built-up  Area,Ready To Move,2.0,770.0,1.0,1.0,38.0,Anandnagar,4935.064935064935
Super built-up  Area,Ready To Move,4.0,3930.0,5.0,2.0,330.0,Aundh,8396.946564885497
Super built-up  Area,18-May,3.0,1355.0,3.0,2.0,54.2,Aundh Road,4000.0
Built-up  Area,Ready To Move,8.0,3000.0,8.0,0.0,150.0,Balaji Nagar,5000.0
Built-up  Area,Ready To Move,4.0,2569.0,4.0,1.0,175.0,Baner,6811.989100817439
Built-up  Area,Ready To Move,4.0,3758.0,4.0,2.0,450.0,Baner road,11974.454497072911
Super built-up  Area,Ready To Move,2.0,1116.0,2.0,3.0,51.91,Bhandarkar Road,4651.433691756272
Super built-up  Area,Ready To Move,3.0,1707.0,3.0,2.0,115.0,Bhavani Peth,6736.965436438196
Plot  Area,18-Apr,5.0,1200.0,5.0,1.0,225.0,Bibvewadi,18750.0
Super built-up  Area,Ready To Move,2.0,1070.0,2.0,2.0,49.0,Bopodi,4579.439252336449
Built-up  Area,Ready To Move,4.0,6000.0,4.0,1.5845003933910307,410.0,Budhwar Peth,6833.333333333333
Super built-up  Area,18-Apr,3.0,1240.0,2.0,1.0,83.0,Bund Garden Road,6693.548387096775
Super built-up  Area,19-Dec,2.0,1300.0,2.0,1.0,91.65,Camp,7050.0
Super built-up  Area,Ready To Move,2.0,1700.0,2.0,2.0,76.0,Chandan Nagar,4470.588235294118
Super built-up  Area,Ready To Move,3.0,1383.0,2.0,2.0,76.18,Dapodi,5508.315256688359
Built-up  Area,Ready To Move,5.0,3000.0,4.0,3.0,170.0,Deccan Gymkhana,5666.666666666667
Built-up  Area,18-Dec,2.0,1200.0,2.0,1.0,34.65,Dehu Road,2887.5
Super built-up  Area,Ready To Move,2.0,935.0,2.0,3.0,45.0,Dhankawadi,4812.834224598931
Super built-up  Area,Ready To Move,3.0,2072.0,4.0,2.0,151.0,Dhayari Phata,7287.644787644787
Built-up  Area,Ready To Move,4.0,2200.0,3.0,1.0,225.0,Dhole Patil Road,10227.272727272728
Super built-up  Area,Ready To Move,1.0,615.0,1.0,1.0,46.0,Erandwane,7479.674796747968
Super built-up  Area,Ready To Move,2.0,1116.0,2.0,1.0,45.0,Fatima Nagar,4032.2580645161293
Super built-up  Area,18-Dec,3.0,1639.0,3.0,2.0,107.0,Fergusson College Road,6528.370957901159
Super built-up  Area,Ready To Move,3.0,1839.0,3.0,2.0,130.0,Ganesh Peth,7069.0592713431215
Super built-up  Area,Ready To Move,2.0,1300.0,2.0,2.0,63.0,Ganeshkhind,4846.153846153846
Super built-up  Area,Ready To Move,1.0,625.0,1.0,1.0,27.0,Ghorpade Peth,4320.0
Super built-up  Area,18-May,1.0,933.0,1.0,1.0,61.0,Ghorpadi,6538.049303322615
Super built-up  Area,Ready To Move,3.0,2289.0,3.0,3.0,180.0,Gokhale Nagar,7863.695937090432
Built-up  Area,Ready To Move,3.0,2316.0,3.0,0.0,125.0,Gultekdi,5397.2366148531955
Super built-up  Area,18-May,2.0,1005.0,2.0,1.0,39.77,Guruwar peth,3957.213930348259
Built-up  Area,Ready To Move,2.0,1080.0,2.0,1.0,38.0,Hadapsar,3518.5185185185187
Plot  Area,Ready To Move,7.0,1200.0,5.0,3.0,185.0,Hadapsar Industrial Estate,15416.666666666666
Super built-up  Area,Ready To Move,2.0,910.0,2.0,3.0,36.0,Hingne Khurd,3956.043956043956
Plot  Area,Ready To Move,2.0,1200.0,2.0,0.0,73.0,Jangali Maharaj Road,6083.333333333333
Super built-up  Area,Ready To Move,2.0,1110.0,2.0,1.0,39.9,Kalyani Nagar,3594.5945945945946
Super built-up  Area,Ready To Move,2.0,1142.0,2.0,2.0,56.0,Karve Nagar,4903.6777583187395
Carpet  Area,Ready To Move,5.0,4000.0,4.0,3.0,240.0,Karve Road,6000.0
Plot  Area,18-Mar,3.0,1800.0,3.0,1.0,204.0,Kasba Peth,11333.333333333334
Super built-up  Area,Ready To Move,2.0,1005.0,2.0,1.0,55.0,Katraj,5472.636815920398
Built-up  Area,18-Apr,3.0,1626.6,3.0,1.0,133.0,Khadaki,8176.564613303824
Super built-up  Area,Ready To Move,2.0,1074.0,2.0,2.0,54.0,Khadki,5027.932960893855
Carpet  Area,Ready To Move,2.0,1230.0,2.0,0.0,80.0,Kharadi,6504.065040650406
Super built-up  Area,Ready To Move,2.0,660.0,1.0,1.0,23.0,Kondhwa,3484.848484848485
Built-up  Area,Ready To Move,2.0,1007.0,2.0,2.0,48.0,Kondhwa Budruk,4766.633565044687
Plot  Area,Ready To Move,4.0,1050.0,6.0,1.0,74.0,Kondhwa Khurd,7047.619047619048
Built-up  Area,20-Dec,3.0,1820.0,3.0,2.0,113.0,Koregaon Park,6208.791208791209
Super built-up  Area,Ready To Move,2.0,1100.0,2.0,1.0,60.0,Kothrud,5454.545454545455
Plot  Area,Ready To Move,2.0,1348.0,2.0,0.0,100.0,Law College Road,7418.39762611276
Super built-up  Area,Ready To Move,2.0,1230.0,2.0,2.0,66.25,Laxmi Road,5386.178861788618
Super built-up  Area,18-May,3.0,1176.0,2.0,1.0,37.62,Lulla Nagar,3198.9795918367345
Super built-up  Area,Ready To Move,3.0,1590.0,3.0,2.0,57.0,Mahatma Gandhi Road,3584.9056603773583
Built-up  Area,Ready To Move,2.0,1200.0,2.0,1.0,78.0,Mangalwar peth,6500.0
Built-up  Area,18-Jun,2.0,1298.0,2.0,1.0,65.0,Manik Bagh,5007.704160246533
Super built-up  Area,18-Jul,2.0,1161.0,2.0,1.0,55.15,Market yard,4750.215331610681
Plot  Area,Ready To Move,4.0,1350.0,4.0,0.0,175.0,Model colony,12962.962962962964
Plot  Area,Ready To Move,5.0,1200.0,5.0,2.0,138.0,Mukund Nagar,11500.0
Super built-up  Area,Ready To Move,2.0,1285.0,2.0,1.0,60.0,Mundhawa,4669.260700389105
Super built-up  Area,17-Jun,3.0,1644.0,3.0,2.0,92.59,Nagar Road,5631.995133819952
Super built-up  Area,Ready To Move,3.0,1819.0,3.0,1.0,150.0,Nana Peth,8246.289169873557
Super built-up  Area,Ready To Move,2.0,1205.0,2.0,1.0,85.0,Narayan Peth,7053.941908713693
Super built-up  Area,Ready To Move,3.0,2350.0,3.0,3.0,300.0,Narayangaon,12765.95744680851
Super built-up  Area,Ready To Move,2.0,1050.0,2.0,1.0,42.0,Navi Peth,4000.0
Super built-up  Area,Ready To Move,2.0,1270.0,2.0,2.0,62.0,Padmavati,4881.889763779527
Super built-up  Area,18-Jun,3.0,1240.0,2.0,2.0,39.89,Parvati Darshan,3216.935483870968
Super built-up  Area,Ready To Move,3.0,1221.0,3.0,3.0,70.0,Pashan,5733.005733005733
Built-up  Area,Ready To Move,3.0,840.0,2.0,2.0,35.0,Paud Road,4166.666666666667
Super built-up  Area,Ready To Move,2.0,1339.0,2.0,2.0,63.0,Pirangut,4705.003734129948
Super built-up  Area,Ready To Move,4.0,4303.0,5.0,1.5845003933910307,300.0,Prabhat Road,6971.880083662561
Super built-up  Area,Ready To Move,2.0,1315.0,2.0,1.0,85.0,Pune Railway Station,6463.878326996198
Super built-up  Area,Ready To Move,2.0,1250.0,2.0,2.0,68.0,Rasta Peth,5440.0
Super built-up  Area,Ready To Move,2.0,850.0,2.0,1.0,27.0,Raviwar Peth,3176.470588235294
Super built-up  Area,Ready To Move,3.0,1600.0,2.0,2.0,110.0,Sadashiv Peth,6875.0
Built-up  Area,Ready To Move,2.0,1250.0,2.0,1.0,62.0,Sahakar Nagar,4960.0
Super built-up  Area,Ready To Move,3.0,1312.0,2.0,1.0,56.5,Salunke Vihar,4306.40243902439
Super built-up  Area,Ready To Move,4.0,3000.0,4.0,0.0,134.0,Sasson Road,4466.666666666667
Built-up  Area,Ready To Move,2.0,1300.0,2.0,2.0,28.0,Satara Road,2153.846153846154
Built-up  Area,Ready To Move,3.0,1990.0,3.0,3.0,98.0,Senapati Bapat Road,4924.62311557789
Super built-up  Area,Ready To Move,2.0,760.0,2.0,2.0,38.5,Shaniwar Peth,5065.789473684211
Plot  Area,Ready To Move,4.0,5000.0,4.0,2.0,536.0,Shivaji Nagar,10720.0
Super built-up  Area,Ready To Move,3.0,1614.0,2.0,2.0,59.0,Shukrawar Peth,3655.5142503097895
Plot  Area,Ready To Move,4.0,1500.0,3.0,2.0,162.0,Sinhagad Road,10800.0
Super built-up  Area,Ready To Move,3.0,1182.0,2.0,1.0,60.1,Somwar Peth,5084.602368866328
Super built-up  Area,Ready To Move,2.0,1053.0,2.0,1.0,46.29,Swargate,4396.011396011396
Built-up  Area,Ready To Move,1.0,750.0,1.0,1.0,105.0,Tilak Road,14000.0
Super built-up  Area,Ready To Move,3.0,2000.0,3.0,3.0,125.0,Uruli Devachi,6250.0
Built-up  Area,18-May,3.0,1940.0,4.0,3.0,116.0,Vadgaon Budruk,5979.381443298969
Super built-up  Area,18-Dec,3.0,1590.0,3.0,2.0,105.0,Wadgaon Sheri,6603.773584905661
Super built-up  Area,18-Oct,2.0,1035.0,2.0,2.0,52.79,Viman Nagar,5100.48309178744
Super built-up  Area,Ready To Move,2.0,1075.0,2.0,2.0,53.0,Vishrant Wadi,4930.232558139535
Plot  Area,Ready To Move,2.0,900.0,2.0,0.0,55.0,Wagholi,6111.111111111111
Super built-up  Area,Ready To Move,3.0,1260.0,2.0,1.0,62.0,Wakadewadi,4920.6349206349205
Plot  Area,Ready To Move,6.0,1200.0,5.0,0.0,260.0,Wanowrie,21666.666666666668
Super built-up  Area,Ready To Move,3.0,1702.0,3.0,2.0,107.0,Warje,6286.721504112808
Super built-up  Area,Ready To Move,3.0,1080.0,2.0,2.0,65.0,Yerawada,6018.518518518518
Built-up  Area,Ready To Move,2.0,1189.0,2.0,1.0,45.0,Alandi Road,3784.6930193439866
Super built-up  Area,Ready To Move,2.0,1035.0,2.0,1.0,39.0,Ambegaon Budruk,3768.1159420289855
Super built-up  Area,18-Aug,2.0,1200.0,2.0,1.0,36.0,Anandnagar,3000.0
Plot  Area,Ready To Move,8.0,4482.0,6.0,2.0,852.0,Aundh,19009.37081659973
Plot  Area,Ready To Move,3.0,1200.0,3.0,0.0,200.0,Aundh Road,16666.666666666668
Super built-up  Area,20-Oct,3.0,1300.0,3.0,1.0,69.0,Balaji Nagar,5307.692307692308
Super built-up  Area,19-Apr,2.0,1330.0,2.0,1.0,93.65,Baner,7041.353383458647
Super built-up  Area,Ready To Move,3.0,1210.0,2.0,1.0,65.0,Baner road,5371.900826446281
Built-up  Area,Ready To Move,3.0,1350.0,2.0,2.0,54.2,Bhandarkar Road,4014.814814814815
Super built-up  Area,Ready To Move,3.0,1900.0,2.0,2.0,65.0,Bhavani Peth,3421.0526315789475
Super built-up  Area,Ready To Move,3.0,1935.0,4.0,2.0,125.0,Bibvewadi,6459.948320413437
Super built-up  Area,Ready To Move,3.0,1410.0,3.0,3.0,90.0,Bopodi,6382.978723404255
Super built-up  Area,Ready To Move,2.0,1469.0,2.0,2.0,99.14,Budhwar Peth,6748.8087134104835
Super built-up  Area,Ready To Move,2.0,986.0,2.0,1.0,30.0,Bund Garden Road,3042.5963488843813
Super built-up  Area,Ready To Move,3.0,1460.0,2.0,2.0,87.0,Camp,5958.904109589041
Super built-up  Area,19-Jan,3.0,1260.0,2.0,2.0,85.05,Chandan Nagar,6750.0
Super built-up  Area,Ready To Move,3.0,1345.0,2.0,2.0,39.5,Dapodi,2936.8029739776953
Super built-up  Area,Ready To Move,2.0,980.0,2.0,1.0,57.0,Deccan Gymkhana,5816.326530612245
Built-up  Area,Ready To Move,2.0,1164.0,2.0,2.0,75.0,Dehu Road,6443.298969072165
Super built-up  Area,Ready To Move,2.0,929.0,1.0,2.0,51.0,Dhankawadi,5489.773950484392
Built-up  Area,Ready To Move,2.0,1065.0,2.0,1.0,70.0,Dhayari Phata,6572.769953051643
Super built-up  Area,20-Jun,2.0,1172.0,2.0,0.0,56.725,Dhole Patil Road,4840.017064846416
Super built-up  Area,Ready To Move,3.0,3000.0,3.0,1.0,265.0,Erandwane,8833.333333333334
Super built-up  Area,18-Apr,2.0,1020.0,2.0,1.0,30.27,Fatima Nagar,2967.6470588235293
Super built-up  Area,Ready To Move,3.0,1362.0,3.0,1.0,62.63,Fergusson College Road,4598.384728340676
Super built-up  Area,Ready To Move,1.0,672.0,1.0,1.0,36.85,Ganesh Peth,5483.630952380952
Super built-up  Area,Ready To Move,3.0,1746.0,3.0,3.0,115.0,Ganeshkhind,6586.483390607102
Built-up  Area,18-Dec,2.0,1025.0,2.0,1.0,29.6,Ghorpade Peth,2887.8048780487807
Super built-up  Area,Ready To Move,2.0,1532.0,2.0,1.0,65.0,Ghorpadi,4242.819843342037
Super built-up  Area,Ready To Move,3.0,1200.0,2.0,2.0,120.0,Gokhale Nagar,10000.0
Super built-up  Area,Ready To Move,2.0,1250.0,2.0,2.0,65.0,Gultekdi,5200.0
Super built-up  Area,Ready To Move,2.0,1188.0,2.0,1.0,39.0,Guruwar peth,3282.8282828282827
Built-up  Area,19-Oct,4.0,3565.0,4.0,0.0,218.0,Hadapsar,6115.007012622721
Super built-up  Area,19-Jan,2.0,1170.0,2.0,2.0,85.0,Hadapsar Industrial Estate,7264.957264957265
Super built-up  Area,Ready To Move,3.0,1800.0,3.0,2.0,150.0,Hingne Khurd,8333.333333333334
Plot  Area,Ready To Move,2.0,1000.0,2.0,1.0,35.0,Jangali Maharaj Road,3500.0
Plot  Area,Ready To Move,3.0,2600.0,3.0,1.0,375.0,Kalyani Nagar,14423.076923076924
Plot  Area,Ready To Move,5.0,1200.0,4.0,3.0,240.0,Karve Nagar,20000.0
Super built-up  Area,Ready To Move,4.0,2507.0,4.0,2.0,155.0,Karve Road,6182.688472277623
Super built-up  Area,Ready To Move,2.0,1061.0,2.0,1.0,34.0,Kasba Peth,3204.5240339302545
Super built-up  Area,Ready To Move,2.0,1290.0,2.0,2.0,69.0,Katraj,5348.837209302325
Super built-up  Area,Ready To Move,2.0,1200.0,2.0,1.0,42.6,Khadaki,3550.0
Super built-up  Area,18-May,2.0,1120.0,2.0,2.0,39.29,Khadki,3508.035714285714
Super built-up  Area,Ready To Move,1.0,418.0,1.0,1.0,12.0,Kharadi,2870.813397129187
Super built-up  Area,Ready To Move,3.0,1333.0,3.0,1.0,50.0,Kondhwa,3750.9377344336085
Super built-up  Area,Ready To Move,3.0,1691.0,3.0,2.0,119.0,Kondhwa Budruk,7037.25606150207
Super built-up  Area,19-Dec,1.0,747.0,1.0,0.0,34.355,Kondhwa Khurd,4599.062918340026
Super built-up  Area,Ready To Move,3.0,1700.0,3.0,3.0,250.0,Koregaon Park,14705.882352941177
Super built-up  Area,19-May,3.0,2030.0,4.0,1.0,125.0,Kothrud,6157.635467980295
Super built-up  Area,18-Mar,2.0,1012.0,2.0,1.0,70.0,Law College Road,6916.99604743083
Carpet  Area,Ready To Move,3.0,1245.0,2.0,1.0,60.0,Laxmi Road,4819.277108433735
Super built-up  Area,Ready To Move,3.0,1765.0,3.0,2.0,118.0,Lulla Nagar,6685.552407932011
Super built-up  Area,Ready To Move,2.0,1110.0,2.0,2.0,36.25,Mahatma Gandhi Road,3265.765765765766
Built-up  Area,Ready To Move,2.0,967.0,2.0,1.0,47.8,Mangalwar peth,4943.1230610134435
Super built-up  Area,Ready To Move,2.0,1044.0,2.0,2.0,36.0,Manik Bagh,3448.2758620689656
Super built-up  Area,Ready To Move,3.0,1518.0,3.0,3.0,80.0,Market yard,5270.092226613966
Super built-up  Area,Ready To Move,3.0,1300.0,2.0,2.0,57.0,Model colony,4384.615384615385
Super built-up  Area,Ready To Move,3.0,1798.0,3.0,3.0,73.0,Mukund Nagar,4060.066740823137
Carpet  Area,Ready To Move,2.0,866.28,2.0,0.0,36.38,Mundhawa,4199.565960197628
Super built-up  Area,18-Feb,4.0,3410.0,5.0,3.0,253.0,Nagar Road,7419.354838709677
Super built-up  Area,Ready To Move,2.0,1179.0,2.0,2.0,56.0,Nana Peth,4749.787955894826
Super built-up  Area,Ready To Move,5.0,3600.0,5.0,1.5845003933910307,510.0,Narayan Peth,14166.666666666666
Super built-up  Area,Ready To Move,2.0,1125.0,2.0,1.0,48.0,Narayangaon,4266.666666666667
Super built-up  Area,Ready To Move,3.0,2098.0,3.0,1.0,210.0,Navi Peth,10009.532888465204
Super built-up  Area,Ready To Move,3.0,2400.0,3.0,1.0,270.0,Padmavati,11250.0
Built-up  Area,Ready To Move,3.0,1976.0,3.0,2.0,92.0,Parvati Darshan,4655.87044534413
Built-up  Area,Ready To Move,2.0,1190.0,2.0,2.0,61.8,Pashan,5193.27731092437
Super built-up  Area,Ready To Move,3.0,1800.0,3.0,3.0,192.0,Paud Road,10666.666666666666
Super built-up  Area,19-Sep,3.0,1761.0,3.0,1.0,84.52,Pirangut,4799.545712663259
Super built-up  Area,Ready To Move,3.0,1700.0,3.0,3.0,120.0,Prabhat Road,7058.823529411765
Built-up  Area,Ready To Move,4.0,900.0,4.0,1.0,70.0,Pune Railway Station,7777.777777777777
Super built-up  Area,18-Apr,2.0,1128.0,2.0,1.0,64.8,Rasta Peth,5744.68085106383
Super built-up  Area,Ready To Move,3.0,2000.0,3.0,2.0,85.0,Raviwar Peth,4250.0
Built-up  Area,18-Dec,3.0,1220.0,2.0,1.0,35.25,Sadashiv Peth,2889.344262295082
Super built-up  Area,19-Jan,1.0,509.0,1.0,1.0,20.0,Sahakar Nagar,3929.2730844793714
Super built-up  Area,Ready To Move,3.0,1852.0,4.0,2.0,122.0,Salunke Vihar,6587.473002159827
Super built-up  Area,20-Dec,2.0,1045.0,2.0,1.0,40.65,Sasson Road,3889.9521531100477
Super built-up  Area,Ready To Move,4.0,3535.0,4.0,2.0,215.0,Satara Road,6082.036775106082
Super built-up  Area,Ready To Move,2.0,1102.0,2.0,2.0,53.67,Senapati Bapat Road,4870.235934664247
Super built-up  Area,Ready To Move,4.0,1800.0,3.0,2.0,82.0,Shaniwar Peth,4555.555555555556
Super built-up  Area,Ready To Move,3.0,1436.0,2.0,2.0,75.0,Shivaji Nagar,5222.841225626741
Super built-up  Area,Ready To Move,3.0,1397.0,2.0,1.5845003933910307,52.0,Shukrawar Peth,3722.2619899785254
Super built-up  Area,Ready To Move,2.0,1140.0,2.0,2.0,56.0,Sinhagad Road,4912.2807017543855
Super built-up  Area,20-Jan,1.0,645.0,1.0,1.0,55.0,Somwar Peth,8527.131782945737
